names	groups	scores	logfc	pvals	pvals_adj
ENSG00000099995	4	1.919332	1.2684158	0.0662934658787231	1019.65979868064
ENSG00000183638	4	1.9192944	1.6612293	0.069998845046828	1076.65223566526
ENSG00000163046	4	1.8786415	0.63254726	0.0734069068547248	1129.07163433252
ENSG00000272442	4	1.9191283	3.1964667	0.0740969022425768	1139.68445339307
ENSG00000151748	4	1.9083155	2.5975757	0.0744846551734726	1145.64848122318
ENSG00000106245	4	1.8382409	1.3567636	0.0792417592078753	1218.81749837633
ENSG00000129625	4	1.8267171	0.9678427	0.0792455068401693	1218.87514070864
ENSG00000167930	4	1.8523823	2.2098763	0.0794311334447836	1221.73026351422
ENSG00000166340	4	1.8289155	1.2333457	0.0794505456394036	1222.02884247967
ENSG00000133704	4	1.8494279	2.2770314	0.0819595518977455	1260.61986773922
ENSG00000170537	4	1.8170786	1.7433417	0.0822199407022933	1264.62490794197
ENSG00000250654	4	1.8729244	29.674803	0.0837373398978659	1287.96402496908
ENSG00000197147	4	1.8056391	1.9738812	0.0861817306676308	1325.56119939883
ENSG00000105398	4	1.8143235	2.5681484	0.0868669045228007	1336.0998584652
ENSG00000175984	4	1.7631003	1.2399898	0.0897612445276623	1380.61770207997
ENSG00000091592	4	1.7569094	0.8964213	0.090721629090675	1395.38937704367
ENSG00000100721	4	1.7585434	0.7787586	0.0909435539440542	1398.8028032135
ENSG00000100359	4	1.7506568	1.0123479	0.0918941139691782	1413.42336695993
ENSG00000072364	4	1.7686775	1.7911605	0.0931552120661983	1432.8203167902
ENSG00000155729	4	1.7574706	1.6132388	0.094599355651784	1455.03268928009
ENSG00000004059	4	1.7436937	1.4066278	0.0947938117175206	1458.02361802718
ENSG00000122482	4	1.7380571	1.3206916	0.0948922787528266	1459.53813949723
ENSG00000148344	4	1.7598215	2.9668996	0.0955195370222574	1469.18599893934
ENSG00000132185	4	1.7268925	0.8938509	0.0962073002446448	1479.76448506288
ENSG00000198382	4	1.7113096	0.83257663	0.0989933404955398	1522.6165701619
ENSG00000186645	4	1.7763437	27.83786	0.0990710146353923	1523.81127610697
ENSG00000125870	4	1.7096918	0.9704621	0.099234652722314	1526.32819352191
ENSG00000134324	4	1.7220365	1.1543506	0.0995508107090895	1531.19101951651
ENSG00000115648	4	1.7178818	1.6914495	0.0996229250294395	1532.30020987781
ENSG00000197958	4	1.7265936	0.32362515	0.100820364907971	1550.7180326495
ENSG00000141582	4	1.7448645	3.3303216	0.101989923607739	1568.70701501064
ENSG00000099849	4	1.7135192	2.2388768	0.103448235127666	1591.13730449863
ENSG00000124440	5	3.0464835	0.9681001	0.00574913742732707	88.4274827697177
ENSG00000143924	5	2.7906523	1.2469176	0.0101884071973281	156.707891102104
ENSG00000225840	5	2.7818043	0.18103907	0.0114501187621739	176.114276680997
ENSG00000176887	5	2.6680026	0.9636592	0.0134571755366479	206.984816929181
ENSG00000104897	5	2.681413	1.8061099	0.0138036506962797	212.313951359478
ENSG00000038427	5	2.6467657	1.4461846	0.0145402369496672	223.643384522831
ENSG00000211897	5	2.6143758	1.5582418	0.0157953512899481	242.948298190692
ENSG00000163884	5	2.514218	0.9927454	0.0191055282762037	293.862130416289
ENSG00000047188	5	2.5610821	2.3131602	0.0200139138932648	307.834009592306
ENSG00000155657	5	2.438534	1.4249209	0.0228321966742878	351.18201704722
ENSG00000167034	5	2.431028	1.8258523	0.0244268085774938	375.708742730433
ENSG00000143869	5	2.387595	0.8860792	0.0252432862737051	388.266986175858
ENSG00000135486	5	2.4151094	0.5023578	0.0262104018930373	403.142191516806
ENSG00000237296	5	2.4123378	1.8577546	0.0263262626929899	404.924246480878
ENSG00000185046	5	2.360869	0.8837973	0.0268385537525317	412.80379526769
ENSG00000164627	5	2.3603556	1.6363211	0.0280498960723059	431.435451488137
ENSG00000129680	5	2.3727448	2.36009	0.0291264375528189	447.993735999908
ENSG00000124795	5	2.3301184	1.8105679	0.0296185474709387	455.562878650508
